Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536180949,00000380,false,Rx,0,8,00,94,00,BE,00,00,00,06,
18445088912536181190,000001A0,false,Rx,0,8,00,40,50,0A,FE,FE,00,1A,
18445088912536181425,00000488,false,Rx,0,8,8D,1A,18,80,9E,FF,FF,91,
18445088912536181667,000002A0,false,Rx,0,8,00,00,00,64,00,00,A0,C4,
18445088912536181918,000004A0,false,Rx,0,8,52,0A,4E,0A,42,0A,66,0A,
18445088912536182867,000000D2,false,Rx,0,5,38,3C,00,00,04,00,00,00,
18445088912536183099,000000C2,false,Rx,0,8,44,80,00,00,80,50,8F,EB,
18445088912536183299,000000D0,false,Rx,0,6,6F,B9,0D,38,13,F0,00,00,
18445088912536183505,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536186965,00000440,false,Rx,0,8,20,52,50,FE,78,00,24,02,
18445088912536187208,00000540,false,Rx,0,8,40,00,FF,00,FF,00,02,0F,
18445088912536187953,0000038A,false,Rx,0,4,E8,80,48,20,00,00,00,00,
18445088912536190036,000005C0,false,Rx,0,8,05,00,00,A6,2D,00,08,86,
18445088912536190328,00000280,false,Rx,0,8,01,18,1C,0D,1A,00,1C,1A,
18445088912536190528,00000284,false,Rx,0,6,69,5D,04,30,00,00,00,00,
18445088912536190769,000000AE,false,Rx,0,8,BB,B8,00,00,00,00,03,00,
18445088912536190943,00000050,false,Rx,0,4,00,B0,54,E4,00,00,00,00,
18445088912536191180,000001A0,false,Rx,0,8,00,40,58,0A,FE,FE,00,1B,
18445088912536191415,00000288,false,Rx,0,8,E8,BD,78,00,00,50,ED,0C,
18445088912536191659,000001AB,false,Rx,0,8,02,02,00,00,00,00,00,00,
18445088912536191907,00000380,false,Rx,0,8,00,94,00,BE,00,00,00,06,
18445088912536192140,000001AC,false,Rx,0,8,8B,1D,10,00,65,21,00,C2,
18445088912536192371,0000044C,false,Rx,0,8,42,6A,43,94,58,02,05,A0,
18445088912536192615,000002A0,false,Rx,0,8,00,00,00,64,00,00,B0,D4,
18445088912536192855,00000480,false,Rx,0,8,C0,00,22,F3,7F,08,06,60,
18445088912536193092,000000C2,false,Rx,0,8,44,80,00,00,80,60,E0,DB,
18445088912536193294,000000D0,false,Rx,0,6,1D,CA,0C,38,13,F0,00,00,
18445088912536193524,000003A0,false,Rx,0,8,41,0D,C4,58,51,26,A4,03,
18445088912536193758,00000488,false,Rx,0,8,BD,1A,18,80,9E,FF,FF,A1,
18445088912536193996,0000048A,false,Rx,0,8,F3,20,01,02,00,00,00,D0,
18445088912536194242,0000048C,false,Rx,0,8,0C,0B,07,00,00,00,00,00,
18445088912536194473,00000368,false,Rx,0,8,42,18,89,84,05,08,5A,00,
18445088912536194711,00000320,false,Rx,0,8,20,40,12,57,0A,4B,0A,81,
18445088912536194946,000004A0,false,Rx,0,8,5A,0A,58,0A,26,0A,5A,0A,
18445088912536195183,00000588,false,Rx,0,8,E1,81,80,00,14,80,04,95,
18445088912536195428,000004A8,false,Rx,0,8,48,00,07,80,00,20,D0,3F,
18445088912536195695,000005A0,false,Rx,0,8,80,0A,07,D0,00,8B,1B,AB,
18445088912536195978,000005B7,false,Rx,0,8,D5,D5,00,00,00,00,00,00,
18445088912536196094,00000572,false,Rx,0,1,07,00,00,00,00,00,00,00,
18445088912536197049,00000440,false,Rx,0,8,20,52,50,FE,78,00,2C,02,
18445088912536197288,00000397,false,Rx,0,8,03,0B,08,00,00,00,00,00,
18445088912536197532,00000540,false,Rx,0,8,50,00,FF,00,FF,00,02,0F,
